time,wind,solar,electric,heat,cold
2023/1/6 23:00,810.4324679,0.0,1177.848558,550.9062121,256.52795
2023/1/7 0:00,829.4661106,0.0,1190.832715,594.4752447,237.4947667
2023/1/7 1:00,605.0694816,0.0,1151.880243,604.1572519,237.0248333
2023/1/7 2:00,627.1084363,0.0,1109.218012,642.8852809,231.6479833
2023/1/7 3:00,607.073023,0.0,1059.136262,640.9488795,240.2843333
2023/1/7 4:00,168.3569,0.0,1077.685058,671.9313026,249.23515
2023/1/7 5:00,258.2647549,0.0,1192.687595,703.8819265,284.3776833
2023/1/7 6:00,36.29943994,0.0,1240.914465,727.6028443,311.86525
2023/1/7 7:00,670.1845749,96.664,1216.80103,723.7300414,310.7778667
2023/1/7 8:00,255.6347023,286.62,1253.898622,691.2953171,305.15015
2023/1/7 9:00,5.33e-09,446.228,1274.302298,668.0584997,331.6572167
2023/1/7 10:00,259.2675104,542.892,1255.753502,625.9417682,374.5669
2023/1/7 11:00,6.01e-09,595.72,1285.431576,541.2242049,413.8761167
2023/1/7 12:00,279.1925889,584.48,1302.125492,456.9907419,452.7056833
2023/1/7 13:00,4.832099548,503.552,1289.141335,430.3652219,490.0530167
2023/1/7 14:00,395.0071903,364.176,1300.270613,437.142627,502.7562333
2023/1/7 15:00,409.724202,185.46,1328.093807,433.2698241,512.4949833
2023/1/7 16:00,8.11e-10,16.86,1385.595075,420.1991143,500.6742167
2023/1/7 17:00,3.17e-10,0.0,1411.56339,433.2698241,467.5536333
2023/1/7 18:00,269.9370597,0.0,1409.70851,451.6656379,418.3510833
2023/1/7 19:00,477.8446072,0.0,1415.273149,483.1321614,378.3935
2023/1/7 20:00,642.1349962,0.0,1285.431576,536.3832012,337.0685167
2023/1/7 21:00,396.7011833,0.0,1200.107113,575.1112302,312.0754833
2023/1/7 22:00,803.4200733,0.0,1190.832715,558.1677175,280.3152333
2023/1/7 23:00,160.3427347,0.0,1218.655909,534.4467998,258.5278167
2023/1/8 0:00,376.66577,0.0,1252.043743,524.7647926,211.6590333
2023/1/8 1:00,800.4147613,0.0,1175.993678,552.3585132,203.3406833
2023/1/8 2:00,656.1597855,0.0,1150.025364,597.8639472,209.0337667
2023/1/8 3:00,106.2471188,0.0,1129.621688,627.8781697,212.8215
2023/1/8 4:00,814.4395506,0.0,1150.025364,645.3057827,206.7097167
2023/1/8 5:00,153.33034,0.0,1278.012057,685.4861128,282.29655
2023/1/8 6:00,642.1349962,0.0,1346.642603,698.0727222,262.4489333
2023/1/8 7:00,104.2435775,96.664,1300.270613,710.6593316,274.31475
2023/1/8 8:00,225.4544657,284.372,1318.819409,708.2388298,301.7131
2023/1/8 9:00,258.3317565,441.732,1320.674288,670.9631019,311.4739333
2023/1/8 10:00,234.5536884,548.512,1350.352362,635.1396751,331.5211833
2023/1/8 11:00,63.04495054,600.216,1344.787723,555.7472157,347.4733
2023/1/8 12:00,244.6136011,594.596,1339.223085,487.0049643,393.4463833
2023/1/8 13:00,369.1387276,519.288,1329.948687,463.7681469,429.4766667
2023/1/8 14:00,253.267782,378.788,1337.368205,465.220448,462.6467167
2023/1/8 15:00,688.7996876,188.832,1331.803566,449.7292364,472.88985
2023/1/8 16:00,8.26e-09,22.48,1370.756038,458.9271433,467.3381
2023/1/8 17:00,208.704967,0.0,1417.128029,443.9200321,416.3264833
2023/1/8 18:00,83.42843445,0.0,1391.159714,419.2309136,325.1214333
2023/1/8 19:00,498.8817911,0.0,1404.143871,439.0790285,303.4824167
2023/1/8 20:00,131.2913854,0.0,1294.705974,449.2451361,271.4006333
2023/1/8 21:00,370.655146,0.0,1205.671752,475.870656,239.0361833
2023/1/8 22:00,698.2341535,0.0,1188.977836,479.7434589,182.8076
2023/1/8 23:00,173.3657533,0.0,1235.349826,464.2522473,169.91535
2023/1/9 0:00,273.0122204,0.0,1222.365669,466.6727491,159.5211667
